"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.31 NA 0.81 NA 7 2 7 3 100 1.29
"2" "kukd" 155 0 0 1 NA 72 16 71 13 100 2.15
"3" "kuku" 932 0 0 1 NA 448 35 452 36 100 2.08
"4" "pkd" 109 0.48 NA 0.54 NA 105 19 107 15 100 1.04
"5" "pku" 1195 0 0 1 NA 506 48 506 49 100 2.36
"6" "pp" 1478 0 0 1 NA 937 40 939 40 100 1.58
"7" "tdkd" 20 0 0 1 NA 10 3 10 4 100 2
"8" "tdku" 30 0 0 1 NA 11 5 11 4 100 2.73
"9" "tdp" 145 0 0 1 NA 109 11 109 9 100 1.33
"10" "tdtd" 11 0.45 NA 0.69 NA 10 3 10 3 100 1.1
"11" "tukd" 35 0.19 NA 0.84 NA 26 9 26 9 100 1.35
"12" "tuku" 1 0.38 NA 0.9 NA 1 1 0 0 100 1
"13" "tup" 146 0.01 NA 0.99 NA 105 20 104 15 100 1.39
"14" "tutd" 12 0.98 NA 0.02 NA 28 8 26 7 100 0.43
"15" "tutu" 770 0.09 NA 0.91 NA 721 38 721 39 100 1.07
