"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 25 5 9 7 NA NA
"ku" "kd" 197 6 27 6 NA NA
"ku" "ku" 1167 14 10 13 2 NA
"p" "kd" 438 6 27 15 NA NA
"p" "ku" 1725 2 6 22 NA 4
"p" "p" 5639 5 7 104 1 NA
"td" "kd" 57 NA 1 NA NA NA
"td" "ku" 48 NA NA NA 1 NA
"td" "p" 602 NA NA 11 21 NA
"td" "td" 225 NA NA 3 19 NA
"tu" "kd" 114 NA 1 2 NA NA
"tu" "p" 497 1 NA 5 NA 1
"tu" "td" 88 NA NA NA NA 6
"tu" "tu" 2929 1 1 7 1 2
"kd" "kd" 31 4 NA NA NA NA
"ku" "kd" 183 NA 16 3 NA NA
"ku" "ku" 1085 9 6 11 2 NA
"p" "kd" 478 NA 10 18 NA NA
"p" "ku" 1487 1 5 8 NA 1
"p" "p" 5261 1 10 93 NA 3
"td" "kd" 86 NA 2 NA 6 NA
"td" "ku" 36 NA NA NA 2 NA
"td" "p" 661 NA 4 12 29 NA
"td" "td" 94 NA NA NA NA 1
"tu" "kd" 98 NA NA 2 NA NA
"tu" "p" 501 NA NA 5 1 NA
"tu" "td" 88 NA NA NA NA 4
"tu" "tu" 3129 NA NA 10 NA 1
"kd" "kd" 24 11 NA NA NA NA
"ku" "kd" 172 1 21 5 NA NA
"ku" "ku" 1240 11 16 14 2 2
"p" "kd" 456 1 25 21 NA NA
"p" "ku" 1483 8 3 17 NA 3
"p" "p" 5206 6 11 117 1 7
"td" "kd" 72 NA 3 NA 2 NA
"td" "ku" 32 NA NA NA 2 NA
"td" "p" 666 NA NA 1 35 1
"td" "td" 157 NA NA NA NA 3
"tu" "kd" 119 NA 5 1 NA NA
"tu" "ku" 5 NA NA NA NA NA
"tu" "p" 526 NA 3 8 NA NA
"tu" "td" 114 NA NA NA NA 5
"tu" "tu" 3191 NA 3 11 NA NA
"kd" "kd" 36 16 14 13 NA NA
