"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 181 0 0 1 NA 42 15 42 18 100 4.31
"2" "kukd" 330 0 0 1 NA 172 22 169 19 100 1.92
"3" "kuku" 1611 0 0 1 NA 870 51 872 55 100 1.85
"4" "pkd" 836 0 0 1 NA 337 26 336 26 100 2.48
"5" "pku" 1768 0 0 1 NA 1061 105 1078 81 100 1.67
"6" "pp" 16104 0 0 1 NA 3189 86 3182 80 100 5.05
"7" "tdkd" 40 0.3 NA 0.72 NA 35 11 34 10 100 1.14
"8" "tdku" 39 0.01 NA 0.99 NA 22 8 22 8 100 1.77
"9" "tdp" 885 0 0 1 NA 391 34 390 24 100 2.26
"10" "tdtd" 99 0.15 NA 0.88 NA 77 20 76 21 100 1.29
"11" "tukd" 57 0.65 NA 0.37 NA 60 11 60 10 100 0.95
"12" "tuku" 1 0.49 NA 0.76 NA 1 1 0 0 100 1
"13" "tup" 329 0 0 1 NA 235 29 238 24 100 1.4
"14" "tutd" 62 0.36 NA 0.69 NA 57 12 59 9 100 1.09
"15" "tutu" 1650 0 0 1 NA 1051 64 1052 57 100 1.57
