"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 11 4 11 4 100 3.36
"2" "kukd" 21 0 0 1 NA 14 4 15 3 100 1.5
"3" "kuku" 12 0.15 NA 1 NA 11 1 10 1 100 1.09
"4" "pkd" 128 0 0 1 NA 78 13 80 10 100 1.64
"5" "pku" 12 0.69 NA 0.31 NA 16 5 18 4 100 0.75
"6" "pp" 193 0 0 1 NA 122 6 122 4 100 1.58
"7" "tdkd" 28 0.2 NA 0.83 NA 21 8 20 6 100 1.33
"8" "tdku" 10 0.13 NA 0.92 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0 0 1 NA 80 11 81 9 100 1.25
"10" "tdtd" 34 0.31 NA 0.77 NA 29 7 28 7 100 1.17
"11" "tukd" 8 0.65 NA 0.48 NA 8 2 9 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.0600000000000001 NA 1 NA 13 4 15 3 100 1.46
"14" "tutd" 4 1 NA 0.01 NA 10 2 10 3 100 0.4
"15" "tutu" 11 0.31 NA 0.95 NA 10 1 10 1 100 1.1
