"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.38 NA 0.73 NA 8 3 7 3 100 1.12
"2" "kukd" 155 0 0 1 NA 76 13 77 13 100 2.04
"3" "kuku" 932 0 0 1 NA 455 36 456 36 100 2.05
"4" "pkd" 109 0.57 NA 0.47 NA 108 17 110 12 100 1.01
"5" "pku" 1195 0 0 1 NA 499 41 497 46 100 2.39
"6" "pp" 1478 0 0 1 NA 920 42 924 45 100 1.61
"7" "tdkd" 20 0 0 1 NA 9 4 10 4 100 2.22
"8" "tdku" 30 0 0 1 NA 12 5 12 4 100 2.5
"9" "tdp" 145 0 0 1 NA 111 11 113 13 100 1.31
"10" "tdtd" 11 0.51 NA 0.65 NA 10 3 11 3 100 1.1
"11" "tukd" 35 0.13 NA 0.9 NA 27 8 27 7 100 1.3
"12" "tuku" 1 0.46 NA 0.85 NA 1 1 0 0 100 1
"13" "tup" 146 0.02 NA 0.98 NA 107 18 105 17 100 1.36
"14" "tutd" 12 0.99 NA 0.01 NA 26 8 27 7 100 0.46
"15" "tutu" 770 0.07 NA 0.93 NA 716 43 718 40 100 1.08
