"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 60 17 59 16 100 3.57
"2" "kukd" 438 0 0 1 NA 237 33 237 30 100 1.85
"3" "kuku" 2103 0 0 1 NA 1249 64 1250 61 100 1.68
"4" "pkd" 981 0 0 1 NA 523 33 519 33 100 1.88
"5" "pku" 2297 0 0 1 NA 1578 88 1582 80 100 1.46
"6" "pp" 18008 0 0 1 NA 5462 130 5460 134 100 3.3
"7" "tdkd" 88 0.07 NA 0.93 NA 62 17 64 14 100 1.42
"8" "tdku" 76 0 0 1 NA 37 11 36 10 100 2.05
"9" "tdp" 1205 0 0 1 NA 695 36 698 33 100 1.73
"10" "tdtd" 231 0.12 NA 0.89 NA 175 48 178 61 100 1.32
"11" "tukd" 111 0.47 NA 0.57 NA 110 13 110 16 100 1.01
"12" "tuku" 1 0.64 NA 0.63 NA 1 2 1 1 100 1
"13" "tup" 583 0.01 NA 0.99 NA 493 48 495 37 100 1.18
"14" "tutd" 123 0.52 NA 0.5 NA 124 20 124 17 100 0.99
"15" "tutu" 4391 0 0 1 NA 3153 102 3150 110 100 1.39
