"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 214 0 0 1 NA 59 19 58 18 100 3.63
"2" "kukd" 438 0 0 1 NA 240 30 242 26 100 1.82
"3" "kuku" 2103 0 0 1 NA 1250 65 1254 65 100 1.68
"4" "pkd" 981 0 0 1 NA 525 32 526 36 100 1.87
"5" "pku" 2297 0 0 1 NA 1586 89 1576 85 100 1.45
"6" "pp" 18008 0 0 1 NA 5471 113 5463 127 100 3.29
"7" "tdkd" 88 0.1 NA 0.92 NA 63 19 62 16 100 1.4
"8" "tdku" 76 0 0 1 NA 40 9 41 10 100 1.9
"9" "tdp" 1205 0 0 1 NA 693 39 694 44 100 1.74
"10" "tdtd" 231 0.12 NA 0.88 NA 182 42 186 42 100 1.27
"11" "tukd" 111 0.46 NA 0.57 NA 110 16 110 16 100 1.01
"12" "tuku" 1 0.74 NA 0.66 NA 2 2 1 1 100 0.5
"13" "tup" 583 0.04 NA 0.96 NA 491 58 498 34 100 1.19
"14" "tutd" 123 0.56 NA 0.49 NA 125 20 124 16 100 0.98
"15" "tutu" 4391 0 0 1 NA 3163 99 3158 99 100 1.39
