"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 185 0 0 1 NA 37 14 36 12 100 5
"2" "kukd" 287 0 0 1 NA 140 20 138 19 100 2.05
"3" "kuku" 1305 0 0 1 NA 667 38 668 31 100 1.96
"4" "pkd" 691 0 0 1 NA 303 29 304 27 100 2.28
"5" "pku" 1416 0 0 1 NA 823 50 818 53 100 1.72
"6" "pp" 13875 0 0 1 NA 2907 71 2911 58 100 4.77
"7" "tdkd" 64 0.09 NA 0.91 NA 39 15 38 13 100 1.64
"8" "tdku" 43 0.01 NA 1 NA 21 7 20 6 100 2.05
"9" "tdp" 818 0 0 1 NA 352 22 352 23 100 2.32
"10" "tdtd" 164 0.03 NA 0.98 NA 86 31 84 32 100 1.91
"11" "tukd" 58 0.58 NA 0.44 NA 59 11 60 10 100 0.98
"12" "tuku" 1 0.35 NA 0.88 NA 1 1 0 0 100 1
"13" "tup" 291 0.01 NA 0.99 NA 232 33 233 24 100 1.25
"14" "tutd" 55 0.63 NA 0.39 NA 56 11 57 11 100 0.98
"15" "tutu" 2209 0 0 1 NA 1388 68 1392 74 100 1.59
