"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 4 100 4
"2" "kukd" 19 0.05 NA 0.98 NA 13 4 14 3 100 1.46
"3" "kuku" 15 0.18 NA 0.97 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 100 11 100 7 100 1.53
"5" "pku" 28 0.07 NA 0.98 NA 23 5 24 3 100 1.22
"6" "pp" 660 0 0 1 NA 440 9 439 10 100 1.5
"7" "tdkd" 14 0.24 NA 0.84 NA 11 4 10 4 100 1.27
"8" "tdku" 10 0.0600000000000001 NA 0.98 NA 6 2 6 2 100 1.67
"9" "tdp" 206 0.01 NA 0.99 NA 165 12 165 10 100 1.25
"10" "tdtd" 24 0.08 NA 0.94 NA 17 5 16 5 100 1.41
"11" "tukd" 5 0.62 NA 0.6 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.4 NA 0.84 NA 13 3 14 1 100 1.15
"14" "tutd" 5 0.87 NA 0.28 NA 7 2 8 1 100 0.71
"15" "tutu" 9 0.64 NA 1 NA 9 0 9 0 100 1
