"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.04 NA 0.98 NA 12 3 12 3 100 1.58
"2" "kukd" 139 0 0 1 NA 99 14 100 12 100 1.4
"3" "kuku" 876 0 0 1 NA 583 45 586 36 100 1.5
"4" "pkd" 299 0 0 1 NA 254 23 255 12 100 1.18
"5" "pku" 1102 0 0 1 NA 967 74 981 82 100 1.14
"6" "pp" 4469 0 0 1 NA 3514 77 3513 75 100 1.27
"7" "tdkd" 12 0.72 NA 0.3 NA 15 5 15 4 100 0.8
"8" "tdku" 18 0.66 NA 0.38 NA 21 6 20 6 100 0.86
"9" "tdp" 325 0.85 NA 0.16 NA 345 18 346 14 100 0.94
"10" "tdtd" 10 0.96 NA 0.05 NA 16 4 16 3 100 0.62
"11" "tukd" 48 0.78 NA 0.26 NA 54 8 54 9 100 0.89
"12" "tuku" 1 0.46 NA 0.83 NA 1 1 0 0 100 1
"13" "tup" 297 0.65 NA 0.38 NA 312 29 310 29 100 0.95
"14" "tutd" 66 0.5 NA 0.53 NA 66 12 66 10 100 1
"15" "tutu" 2397 0 0 1 NA 1539 72 1532 85 100 1.56
