"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.05 NA 0.97 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0 0 1 NA 70 13 72 10 100 1.49
"3" "kuku" 613 0 0 1 NA 395 34 394 34 100 1.55
"4" "pkd" 187 0 0 1 NA 127 15 128 12 100 1.47
"5" "pku" 722 0 0 1 NA 493 53 499 46 100 1.46
"6" "pp" 1764 0 0 1 NA 1375 44 1376 41 100 1.28
"7" "tdkd" 16 0.57 NA 0.51 NA 16 4 16 4 100 1
"8" "tdku" 39 0.01 NA 0.99 NA 20 8 19 7 100 1.95
"9" "tdp" 298 0.01 NA 0.99 NA 256 21 256 15 100 1.16
"10" "tdtd" 21 0.91 NA 0.14 NA 27 5 26 4 100 0.78
"11" "tukd" 26 0.63 NA 0.43 NA 27 7 28 7 100 0.96
"12" "tuku" 0 1 NA 0.69 NA 0 1 0 0 100 NA
"13" "tup" 177 0.05 NA 0.95 NA 142 20 144 19 100 1.25
"14" "tutd" 62 0.29 NA 0.72 NA 57 13 56 11 100 1.09
"15" "tutu" 1075 0 0 1 NA 775 48 774 51 100 1.39
