"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 11 4 100 3.08
"2" "kukd" 21 0.13 NA 0.94 NA 17 4 17 3 100 1.24
"3" "kuku" 16 0.4 NA 0.87 NA 15 2 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 70 9 71 6 100 1.43
"5" "pku" 31 0.08 NA 0.98 NA 26 4 27 3 100 1.19
"6" "pp" 227 0 0 1 NA 164 7 164 7 100 1.38
"7" "tdkd" 12 0.51 NA 0.57 NA 12 5 12 4 100 1
"8" "tdku" 5 0.3 NA 0.9 NA 3 2 3 1 100 1.67
"9" "tdp" 93 0.01 NA 1 NA 77 8 78 6 100 1.21
"10" "tdtd" 22 0.36 NA 0.68 NA 20 5 20 5 100 1.1
"11" "tukd" 16 0.86 NA 0.17 NA 21 5 22 4 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0.04 NA 0.98 NA 35 8 37 3 100 1.26
"14" "tutd" 8 0.99 NA 0.02 NA 20 5 22 4 100 0.4
"15" "tutu" 30 0.1 NA 0.96 NA 27 2 27 3 100 1.11
