"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 186 0 0 1 NA 41 14 39 14 100 4.54
"2" "kukd" 329 0 0 1 NA 162 22 164 15 100 2.03
"3" "kuku" 1477 0 0 1 NA 781 41 776 44 100 1.89
"4" "pkd" 762 0 0 1 NA 349 24 350 21 100 2.18
"5" "pku" 1598 0 0 1 NA 958 90 960 53 100 1.67
"6" "pp" 14731 0 0 1 NA 3417 76 3415 80 100 4.31
"7" "tdkd" 73 0.02 NA 0.98 NA 44 14 43 13 100 1.66
"8" "tdku" 51 0 0 1 NA 23 7 24 7 100 2.22
"9" "tdp" 920 0 0 1 NA 419 41 419 29 100 2.2
"10" "tdtd" 170 0.03 NA 0.97 NA 106 33 100 35 100 1.6
"11" "tukd" 71 0.45 NA 0.57 NA 70 12 69 12 100 1.01
"12" "tuku" 1 0.5 NA 0.83 NA 1 1 0 1 100 1
"13" "tup" 345 0.01 NA 0.99 NA 287 26 288 17 100 1.2
"14" "tutd" 67 0.57 NA 0.46 NA 69 12 69 11 100 0.97
"15" "tutu" 2593 0 0 1 NA 1699 70 1698 76 100 1.53
