"kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tukd" "tup" "tutd" "tutu" "kdkd" "tdku" "tuku"
17 65 40 91 356 4 20 19 12 38 3 155 NA NA NA
16 57 47 96 323 1 39 NA 13 24 5 151 12 NA NA
14 78 47 96 366 1 24 1 7 22 1 153 1 1 NA
38 86 50 138 402 3 20 1 7 31 6 138 28 1 NA
20 85 47 99 365 NA 33 25 9 27 2 135 7 3 NA
26 92 35 87 382 1 45 24 7 33 2 140 7 1 NA
23 85 41 117 365 5 22 NA 5 27 7 162 4 2 NA
16 78 55 87 361 2 42 NA 1 9 6 156 1 1 NA
8 79 36 106 400 5 24 3 6 21 10 154 12 3 NA
20 74 63 89 366 5 34 4 6 32 4 136 5 1 NA
9 76 67 113 368 1 25 19 4 25 5 150 13 NA NA
16 78 45 77 363 NA 21 4 4 24 1 152 2 NA NA
20 67 52 96 392 3 32 6 5 25 1 158 18 2 NA
27 83 50 69 377 NA 31 5 10 34 4 150 17 2 NA
15 77 48 116 398 11 50 4 7 14 5 135 5 5 NA
23 94 50 109 338 15 39 12 10 29 3 188 6 6 NA
25 71 28 94 354 3 36 NA 4 25 5 168 5 NA NA
21 94 38 111 398 5 39 NA 5 19 2 151 NA 1 NA
25 82 46 99 380 3 29 2 5 29 1 173 12 1 NA
20 69 58 81 372 1 28 13 9 23 5 142 17 4 NA
22 77 26 112 358 NA 23 4 10 33 6 131 12 2 NA
48 96 55 124 324 4 36 14 9 31 5 143 24 1 NA
22 79 48 85 347 NA 42 12 9 12 1 139 8 1 NA
26 91 43 105 362 1 31 15 3 30 1 170 5 1 NA
31 107 47 88 341 1 37 NA 7 23 3 126 28 1 1
14 86 46 105 371 3 29 10 7 24 3 163 18 1 NA
38 80 65 117 383 3 42 NA 8 33 7 135 50 1 NA
23 90 52 96 383 5 38 2 10 21 1 127 10 NA NA
16 92 41 92 370 1 36 1 5 19 4 160 5 NA NA
34 80 63 101 418 NA 42 NA 8 22 3 169 23 1 NA
27 92 54 119 405 2 29 4 6 28 4 146 17 NA NA
33 84 43 80 337 5 27 3 9 27 6 147 2 4 NA
16 74 39 93 356 NA 29 3 16 22 2 138 12 1 NA
26 83 48 105 387 1 26 18 5 20 1 178 15 2 NA
23 71 37 109 404 2 16 2 6 20 3 139 NA 1 NA
16 70 23 108 386 1 31 6 4 29 7 136 2 NA NA
21 84 58 99 384 41 43 3 10 36 8 159 1 3 NA
31 80 35 97 395 2 38 NA 4 5 1 132 7 6 NA
24 83 41 95 378 1 32 NA 5 27 3 167 1 NA NA
