"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.0600000000000001 NA 0.98 NA 24 5 25 6 50 1.38
"2" "kukd" 305 0 0 1 NA 196 29 200 22 50 1.56
"3" "kuku" 1719 0 0 1 NA 1140 52 1146 46 50 1.51
"4" "pkd" 538 0 0 1 NA 404 35 408 23 50 1.33
"5" "pku" 2067 0 0 1 NA 1547 83 1559 82 50 1.34
"6" "pp" 6202 0 0 1 NA 4767 74 4782 73 50 1.3
"7" "tdkd" 35 0.3 NA 0.72 NA 32 7 31 6 50 1.09
"8" "tdku" 52 0.08 NA 0.94 NA 38 9 38 10 50 1.37
"9" "tdp" 545 0.16 NA 0.84 NA 521 24 520 25 50 1.05
"10" "tdtd" 44 0.64 NA 0.36 NA 46 7 46 7 50 0.96
"11" "tukd" 102 0.54 NA 0.5 NA 103 10 102 11 50 0.99
"12" "tuku" 1 0.62 NA 0.7 NA 1 1 1 1 50 1
"13" "tup" 541 0.08 NA 0.92 NA 491 44 496 30 50 1.1
"14" "tutd" 114 0.6 NA 0.42 NA 119 20 117 21 50 0.96
"15" "tutu" 4146 0 0 1 NA 3049 88 3038 84 50 1.36
