"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.41 NA 0.7 NA 8 3 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 75 16 75 16 100 2.07
"3" "kuku" 932 0 0 1 NA 449 32 450 31 100 2.08
"4" "pkd" 109 0.54 NA 0.49 NA 107 19 110 15 100 1.02
"5" "pku" 1195 0 0 1 NA 495 54 493 43 100 2.41
"6" "pp" 1478 0 0 1 NA 923 33 922 32 100 1.6
"7" "tdkd" 20 0.01 NA 0.99 NA 10 4 10 4 100 2
"8" "tdku" 30 0 0 1 NA 12 5 11 4 100 2.5
"9" "tdp" 145 0.01 NA 0.99 NA 111 11 110 10 100 1.31
"10" "tdtd" 11 0.46 NA 0.65 NA 10 3 10 3 100 1.1
"11" "tukd" 35 0.17 NA 0.88 NA 28 7 28 7 100 1.25
"12" "tuku" 1 0.47 NA 0.82 NA 1 1 0 0 100 1
"13" "tup" 146 0 0 1 NA 104 14 104 13 100 1.4
"14" "tutd" 12 0.95 NA 0.07 NA 27 8 27 7 100 0.44
"15" "tutu" 770 0.12 NA 0.88 NA 717 41 710 43 100 1.07
