"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 204 0 0 1 NA 52 16 50 19 100 3.92
"2" "kukd" 399 0 0 1 NA 207 21 205 21 100 1.93
"3" "kuku" 1873 0 0 1 NA 1048 58 1042 56 100 1.79
"4" "pkd" 901 0 0 1 NA 448 29 446 26 100 2.01
"5" "pku" 2031 0 0 1 NA 1316 106 1323 81 100 1.54
"6" "pp" 16685 0 0 1 NA 4627 104 4640 107 100 3.61
"7" "tdkd" 82 0.09 NA 0.92 NA 56 16 54 13 100 1.46
"8" "tdku" 65 0 0 1 NA 35 9 35 9 100 1.86
"9" "tdp" 1082 0 0 1 NA 585 32 585 28 100 1.85
"10" "tdtd" 221 0.07 NA 0.93 NA 154 44 147 40 100 1.44
"11" "tukd" 99 0.28 NA 0.75 NA 91 15 93 12 100 1.09
"12" "tuku" 1 0.61 NA 0.76 NA 1 2 1 1 100 1
"13" "tup" 497 0 0 1 NA 402 37 403 37 100 1.24
"14" "tutd" 102 0.59 NA 0.45 NA 105 18 105 18 100 0.97
"15" "tutu" 3575 0 0 1 NA 2487 100 2486 95 100 1.44
