"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 10 4 100 4
"2" "kukd" 19 0.05 NA 0.99 NA 13 3 14 3 100 1.46
"3" "kuku" 15 0.15 NA 0.97 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 98 14 100 9 100 1.56
"5" "pku" 28 0.11 NA 0.96 NA 23 6 25 3 100 1.22
"6" "pp" 660 0 0 1 NA 438 10 438 10 100 1.51
"7" "tdkd" 14 0.24 NA 0.83 NA 10 4 11 4 100 1.4
"8" "tdku" 10 0.03 NA 1 NA 6 2 6 3 100 1.67
"9" "tdp" 206 0 0 1 NA 164 13 165 10 100 1.26
"10" "tdtd" 24 0.1 NA 0.9 NA 17 5 16 5 100 1.41
"11" "tukd" 5 0.6 NA 0.6 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.41 NA 0.87 NA 13 3 14 1 100 1.15
"14" "tutd" 5 0.82 NA 0.34 NA 7 3 7 3 100 0.71
"15" "tutu" 9 0.69 NA 1 NA 9 0 9 0 100 1
