"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.04 NA 0.96 NA 24 5 24 4 50 1.38
"2" "kukd" 305 0 0 1 NA 199 21 201 16 50 1.53
"3" "kuku" 1719 0 0 1 NA 1135 58 1134 53 50 1.51
"4" "pkd" 538 0 0 1 NA 400 37 404 24 50 1.34
"5" "pku" 2067 0 0 1 NA 1533 89 1528 78 50 1.35
"6" "pp" 6202 0 0 1 NA 4758 98 4769 107 50 1.3
"7" "tdkd" 35 0.4 NA 0.62 NA 33 7 33 6 50 1.06
"8" "tdku" 52 0.02 NA 0.98 NA 34 9 33 8 50 1.53
"9" "tdp" 545 0.14 NA 0.88 NA 525 19 526 16 50 1.04
"10" "tdtd" 44 0.78 NA 0.3 NA 48 6 47 6 50 0.92
"11" "tukd" 102 0.44 NA 0.58 NA 101 16 100 10 50 1.01
"12" "tuku" 1 0.7 NA 0.66 NA 1 1 1 1 50 1
"13" "tup" 541 0.0600000000000001 NA 0.96 NA 488 31 484 28 50 1.11
"14" "tutd" 114 0.78 NA 0.22 NA 126 16 124 20 50 0.9
"15" "tutu" 4146 0 0 1 NA 3022 97 3023 94 50 1.37
