"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 62 15 12 NA NA NA
"ku" "kd" 256 3 28 15 NA NA
"ku" "ku" 1187 11 9 16 NA 2
"p" "kd" 506 3 24 21 NA NA
"p" "ku" 1562 6 7 25 NA 3
"p" "p" 5433 6 9 137 1 4
"td" "kd" 74 NA 11 NA 2 NA
"td" "ku" 58 NA NA NA NA NA
"td" "p" 710 NA 6 3 30 NA
"td" "td" 165 NA NA NA 1 NA
"tu" "kd" 104 NA 3 1 NA NA
"tu" "p" 526 NA NA 2 NA 1
"tu" "td" 130 NA NA 1 NA 5
"tu" "tu" 3079 NA NA 9 3 1
"kd" "kd" 71 13 2 NA NA NA
"ku" "kd" 224 6 28 7 1 NA
"ku" "ku" 1282 14 18 10 5 1
"p" "kd" 496 1 22 10 NA NA
"p" "ku" 1589 12 13 16 1 1
"p" "p" 5404 3 19 118 1 1
"td" "kd" 82 NA 1 3 3 NA
"td" "ku" 38 NA NA NA 1 NA
"td" "p" 695 NA NA 1 17 NA
"td" "td" 176 NA NA 1 2 6
"tu" "kd" 115 NA 6 1 NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 476 NA 1 5 1 NA
"tu" "td" 140 NA NA NA NA 7
"tu" "tu" 3256 1 1 10 1 3
"kd" "kd" 26 3 1 NA NA NA
"ku" "kd" 189 3 32 1 NA NA
"ku" "ku" 1301 16 19 6 1 3
"p" "kd" 434 1 37 16 NA NA
"p" "ku" 1627 3 5 17 1 4
"p" "p" 5292 1 20 113 6 1
"td" "kd" 53 NA NA NA 1 NA
"td" "ku" 49 NA NA NA 1 NA
"td" "p" 644 NA 1 9 36 NA
"td" "td" 160 NA NA NA 8 20
"tu" "kd" 112 NA 5 3 NA NA
"tu" "p" 462 NA 1 3 NA 3
"tu" "td" 137 NA NA NA NA 9
"tu" "tu" 3239 NA NA 9 1 3
"kd" "kd" 42 9 24 NA NA NA
"ku" "kd" 224 8 21 1 NA NA
"ku" "ku" 1161 8 16 9 4 2
"p" "kd" 522 3 19 9 NA NA
"p" "ku" 1429 7 5 14 2 7
"p" "p" 5056 6 11 136 3 5
"td" "kd" 77 NA NA NA NA NA
"td" "ku" 40 NA NA NA 1 2
"td" "p" 658 NA NA 1 42 NA
"td" "td" 95 NA NA NA 13 3
"tu" "kd" 102 NA 1 2 1 NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 478 NA NA 4 1 NA
"tu" "td" 115 NA NA NA 1 9
"tu" "tu" 3161 NA NA 5 4 7
"kd" "kd" 43 10 10 NA NA NA
"ku" "kd" 161 3 17 6 NA NA
"ku" "ku" 1176 9 11 21 NA NA
"p" "kd" 455 3 16 31 NA NA
"p" "ku" 1516 NA 1 23 NA 1
"p" "p" 5525 4 5 137 3 5
"td" "kd" 46 NA 12 4 NA NA
"td" "ku" 29 NA NA NA 1 NA
"td" "p" 640 NA 3 3 31 NA
"td" "td" 187 NA NA NA 7 NA
"tu" "kd" 113 NA 3 4 NA NA
"tu" "p" 493 NA 1 1 NA NA
"tu" "td" 128 NA NA 2 NA 8
"tu" "tu" 3211 NA NA 5 5 3
"kd" "kd" 35 3 18 NA NA NA
"ku" "kd" 233 8 23 4 1 NA
"ku" "ku" 1105 3 13 5 1 2
"p" "kd" 537 5 6 33 NA NA
"p" "ku" 1461 6 4 26 3 3
"p" "p" 5273 2 6 134 2 5
"td" "kd" 80 NA 6 NA 2 NA
"td" "ku" 36 NA 1 1 NA NA
"td" "p" 702 NA 5 4 28 NA
"td" "td" 128 NA NA NA 6 5
"tu" "kd" 82 NA 1 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 436 NA NA 4 NA NA
"tu" "td" 115 NA NA NA NA 8
"tu" "tu" 3104 NA NA 13 5 3
"kd" "kd" 40 5 9 3 NA NA
"ku" "kd" 223 2 22 7 NA NA
"ku" "ku" 1299 6 17 10 NA 2
"p" "kd" 486 1 30 20 NA NA
"p" "ku" 1667 2 9 15 NA 1
"p" "p" 5385 3 19 130 4 NA
