"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0.1 NA 0.92 NA 25 5 25 6 50 1.32
"2" "kukd" 305 0 0 1 NA 198 24 201 18 50 1.54
"3" "kuku" 1719 0 0 1 NA 1130 47 1120 45 50 1.52
"4" "pkd" 538 0 0 1 NA 411 21 407 19 50 1.31
"5" "pku" 2067 0 0 1 NA 1526 81 1512 73 50 1.35
"6" "pp" 6202 0 0 1 NA 4760 93 4762 87 50 1.3
"7" "tdkd" 35 0.36 NA 0.66 NA 33 7 33 7 50 1.06
"8" "tdku" 52 0.0600000000000001 NA 0.96 NA 36 10 37 10 50 1.44
"9" "tdp" 545 0.12 NA 0.88 NA 523 25 524 25 50 1.04
"10" "tdtd" 44 0.74 NA 0.28 NA 47 6 48 4 50 0.94
"11" "tukd" 102 0.58 NA 0.48 NA 104 13 105 12 50 0.98
"12" "tuku" 1 0.68 NA 0.6 NA 2 2 1 1 50 0.5
"13" "tup" 541 0.04 NA 0.96 NA 490 34 492 33 50 1.1
"14" "tutd" 114 0.6 NA 0.42 NA 116 20 117 16 50 0.98
"15" "tutu" 4146 0 0 1 NA 3041 113 3040 136 50 1.36
