"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0 0 1 NA 13 6 12 6 100 2.77
"2" "kukd" 95 0 0 1 NA 45 9 46 9 100 2.11
"3" "kuku" 324 0 0 1 NA 133 15 133 13 100 2.44
"4" "pkd" 175 0 0 1 NA 56 9 56 10 100 3.12
"5" "pku" 266 0 0 1 NA 100 15 100 13 100 2.66
"6" "pp" 1883 0 0 1 NA 304 25 304 27 100 6.19
"7" "tdkd" 33 0 0 1 NA 10 5 9 4 100 3.3
"8" "tdku" 15 0 0 1 NA 5 3 5 3 100 3
"9" "tdp" 101 0 0 1 NA 50 9 49 10 100 2.02
"10" "tdtd" 38 0.01 NA 1 NA 17 6 17 6 100 2.24
"11" "tukd" 23 0.05 NA 0.98 NA 14 5 14 6 100 1.64
"12" "tuku" 0 1 NA 0.73 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 43 11 43 9 100 2.42
"14" "tutd" 15 0.22 NA 0.84 NA 11 5 10 4 100 1.36
"15" "tutu" 236 0 0 1 NA 162 17 162 17 100 1.46
