"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 42 5 10 8 NA NA
"ku" "kd" 213 8 33 14 2 NA
"ku" "ku" 1206 15 21 15 2 1
"p" "kd" 450 8 37 24 2 NA
"p" "ku" 1530 9 2 34 5 4
"p" "p" 5298 1 38 125 NA 7
"td" "kd" 105 NA 4 6 NA NA
"td" "ku" 23 NA NA 1 NA NA
"td" "p" 709 NA 2 3 31 NA
"td" "td" 87 NA NA NA NA 5
"tu" "kd" 98 NA 9 4 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 479 NA 2 14 1 NA
"tu" "td" 112 NA NA NA NA 8
"tu" "tu" 3104 1 3 8 1 5
"kd" "kd" 34 17 12 22 NA NA
"ku" "kd" 226 8 29 17 NA NA
"ku" "ku" 1225 10 10 12 1 4
"p" "kd" 477 3 13 11 NA NA
"p" "ku" 1538 5 3 14 2 NA
"p" "p" 5222 7 15 88 NA 2
"td" "kd" 70 NA 11 2 NA NA
"td" "ku" 55 NA NA NA 1 NA
"td" "p" 643 NA 6 4 19 NA
"td" "td" 129 NA NA NA 13 56
"tu" "kd" 84 NA NA NA NA NA
"tu" "ku" 4 NA NA NA NA NA
"tu" "p" 472 NA NA 6 NA 1
"tu" "td" 130 NA NA 1 NA 11
"tu" "tu" 3040 NA NA 10 2 3
"kd" "kd" 53 37 44 NA NA NA
"ku" "kd" 239 11 23 2 NA NA
"ku" "ku" 1250 9 15 2 1 1
"p" "kd" 453 23 33 5 NA NA
"p" "ku" 1675 11 8 14 1 NA
"p" "p" 5395 7 13 105 3 3
"td" "kd" 70 NA 6 2 NA NA
"td" "ku" 54 NA NA NA NA NA
"td" "p" 640 NA 1 3 33 NA
"td" "td" 167 NA NA NA 1 6
"tu" "kd" 114 NA NA NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 521 NA NA 3 1 NA
"tu" "td" 129 NA NA NA NA 10
"tu" "tu" 3237 NA NA 7 3 3
"kd" "kd" 41 1 NA NA NA NA
"ku" "kd" 224 1 16 2 1 NA
"ku" "ku" 1191 8 10 14 4 1
"p" "kd" 481 NA 6 13 1 NA
"p" "ku" 1568 7 4 24 NA 1
"p" "p" 5233 2 6 106 4 1
"td" "kd" 53 NA 6 5 NA NA
"td" "ku" 38 NA NA NA 3 NA
"td" "p" 643 NA 3 7 25 1
"td" "td" 140 NA NA 8 13 18
"tu" "kd" 129 NA 5 2 NA NA
"tu" "p" 475 NA 2 2 NA 1
"tu" "td" 111 NA NA NA NA 9
"tu" "tu" 3116 NA NA 8 4 6
"kd" "kd" 33 4 3 2 NA NA
"ku" "kd" 221 2 15 NA NA NA
"ku" "ku" 1253 6 14 5 NA 1
"p" "kd" 452 1 17 17 1 NA
"p" "ku" 1592 1 1 12 NA 1
"p" "p" 5229 3 7 101 2 3
"td" "kd" 76 NA 2 NA NA NA
"td" "ku" 50 NA 1 NA 1 NA
"td" "p" 699 NA 3 8 15 NA
"td" "td" 135 NA NA NA 4 14
"tu" "kd" 120 NA 4 NA NA NA
"tu" "p" 505 NA 1 2 NA 1
"tu" "td" 122 1 NA NA NA 9
"tu" "tu" 3295 NA NA 14 4 6
"kd" "kd" 30 24 22 2 NA NA
"ku" "kd" 228 18 25 5 NA NA
"ku" "ku" 1293 14 7 7 NA 1
"p" "kd" 443 7 17 16 NA NA
"p" "ku" 1491 4 1 5 NA 2
"p" "p" 5300 12 3 76 NA 4
"td" "kd" 49 NA NA NA NA NA
"td" "ku" 40 NA NA NA 2 NA
"td" "p" 675 NA NA 11 30 NA
"td" "td" 209 NA NA NA 18 NA
"tu" "kd" 106 NA 3 NA NA NA
