"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 109 0 0 1 NA 10 8 8 7 2000 10.9
"2" "kukd" 78 0 0 1 NA 21 7 21 7 2000 3.71
"3" "kuku" 296 0 0 1 NA 82 11 82 10 2000 3.61
"4" "pkd" 177 0 0 1 NA 44 9 43 9 2000 4.02
"5" "pku" 320 0 0 1 NA 97 15 98 13 2000 3.3
"6" "pp" 5271 0 0 1 NA 369 22 369 21 2000 14.28
"7" "tdkd" 7 0.1385 NA 0.8955 NA 3 4 2 3 2000 2.33
"8" "tdku" 7 0.00649999999999995 NA 0.9985 NA 1 1 1 1 2000 7
"9" "tdp" 262 0 0 1 NA 32 7 31 7 2000 8.19
"10" "tdtd" 86 0 0 1 NA 6 8 3 4 2000 14.33
"11" "tukd" 5 0.795 NA 0.323 NA 7 3 7 3 2000 0.71
"12" "tuku" 0 1 NA 0.935 NA 0 0 0 0 2000 NA
"13" "tup" 40 0.012 NA 0.992 NA 25 7 25 6 2000 1.6
"14" "tutd" 6 0.2265 NA 0.8645 NA 4 2 4 3 2000 1.5
"15" "tutu" 349 0 0 1 NA 150 14 150 15 2000 2.33
