"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 11 4 100 3.08
"2" "kukd" 21 0.15 NA 0.92 NA 16 4 17 3 100 1.31
"3" "kuku" 16 0.4 NA 0.87 NA 15 1 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 69 11 71 7 100 1.45
"5" "pku" 31 0.09 NA 0.96 NA 24 6 26 4 100 1.29
"6" "pp" 227 0 0 1 NA 163 7 162 7 100 1.39
"7" "tdkd" 12 0.53 NA 0.58 NA 12 5 12 4 100 1
"8" "tdku" 5 0.32 NA 0.88 NA 4 2 3 1 100 1.25
"9" "tdp" 93 0.07 NA 0.94 NA 78 9 78 7 100 1.19
"10" "tdtd" 22 0.33 NA 0.72 NA 19 6 19 6 100 1.16
"11" "tukd" 16 0.84 NA 0.16 NA 21 5 22 4 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0 0 1 NA 34 7 36 4 100 1.29
"14" "tutd" 8 1 NA 0.02 NA 20 5 20 4 100 0.4
"15" "tutu" 30 0.12 NA 0.98 NA 27 2 27 1 100 1.11
