"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 15 0.03 NA 0.98 NA 9 3 9 3 100 1.67
"2" "kukd" 104 0 0 1 NA 71 10 71 9 100 1.46
"3" "kuku" 613 0 0 1 NA 404 30 403 33 100 1.52
"4" "pkd" 187 0 0 1 NA 130 11 131 9 100 1.44
"5" "pku" 722 0 0 1 NA 506 40 509 45 100 1.43
"6" "pp" 1764 0 0 1 NA 1372 43 1376 36 100 1.29
"7" "tdkd" 16 0.53 NA 0.56 NA 16 4 16 4 100 1
"8" "tdku" 39 0.01 NA 1 NA 21 7 20 7 100 1.86
"9" "tdp" 298 0.02 NA 0.99 NA 256 25 259 16 100 1.16
"10" "tdtd" 21 0.85 NA 0.2 NA 26 5 26 6 100 0.81
"11" "tukd" 26 0.62 NA 0.44 NA 28 7 27 7 100 0.93
"12" "tuku" 0 1 NA 0.66 NA 0 1 0 0 100 NA
"13" "tup" 177 0.07 NA 0.93 NA 144 24 142 22 100 1.23
"14" "tutd" 62 0.38 NA 0.64 NA 58 13 59 12 100 1.07
"15" "tutu" 1075 0 0 1 NA 763 52 765 52 100 1.41
