"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 44 0 0 1 NA 11 4 11 4 100 4
"2" "kukd" 19 0.05 NA 0.99 NA 13 4 13 3 100 1.46
"3" "kuku" 15 0.2 NA 0.99 NA 13 1 13 1 100 1.15
"4" "pkd" 153 0 0 1 NA 98 11 99 9 100 1.56
"5" "pku" 28 0.07 NA 0.94 NA 23 5 24 3 100 1.22
"6" "pp" 660 0 0 1 NA 439 10 439 10 100 1.5
"7" "tdkd" 14 0.19 NA 0.87 NA 10 4 10 4 100 1.4
"8" "tdku" 10 0.05 NA 0.98 NA 5 2 5 3 100 2
"9" "tdp" 206 0 0 1 NA 167 10 168 10 100 1.23
"10" "tdtd" 24 0.15 NA 0.88 NA 17 5 17 6 100 1.41
"11" "tukd" 5 0.59 NA 0.67 NA 5 2 5 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 15 0.34 NA 0.9 NA 12 4 13 3 100 1.25
"14" "tutd" 5 0.83 NA 0.31 NA 7 2 7 3 100 0.71
"15" "tutu" 9 0.72 NA 1 NA 9 0 9 0 100 1
