"kdkd" "kukd" "kuku" "pkd" "pku" "pp" "tdkd" "tdp" "tdtd" "tup" "tutd" "tutu" "tukd" "tdku" "tuku"
32 72 71 55 66 131 1 14 10 10 14 32 NA NA NA
28 67 65 38 70 141 1 12 14 6 13 16 1 NA NA
20 50 66 33 43 147 NA 11 13 6 8 13 NA NA NA
20 48 59 32 56 112 2 7 14 7 8 26 1 NA NA
30 68 70 30 38 138 3 15 15 7 17 26 NA NA NA
11 37 51 36 60 124 NA 14 15 5 12 17 NA NA NA
14 40 73 26 65 132 4 19 15 4 9 30 NA NA NA
27 47 58 26 42 128 3 9 10 6 10 18 NA NA NA
20 45 76 27 55 134 NA 16 11 6 13 20 NA NA NA
17 67 61 34 50 135 NA 17 9 NA 2 19 NA NA NA
33 37 78 18 57 125 2 20 9 NA 7 25 NA 1 NA
18 71 82 27 61 116 1 12 14 9 13 27 2 NA NA
20 52 52 30 51 118 1 28 9 5 8 28 NA NA NA
18 50 70 24 44 120 NA 24 18 7 7 31 1 NA NA
23 67 84 31 24 128 NA 18 14 7 10 15 1 NA NA
23 46 79 28 37 111 1 5 5 6 5 26 NA NA NA
20 75 79 30 50 137 1 27 11 6 13 24 1 NA NA
9 54 72 27 55 157 1 18 13 7 9 27 NA NA NA
20 61 53 34 21 118 NA 18 8 4 3 15 NA NA NA
19 53 78 35 64 142 2 13 15 2 11 17 NA NA NA
19 49 61 28 73 111 NA 18 8 3 4 21 NA NA NA
15 57 55 24 37 125 NA 13 7 3 5 15 NA NA NA
32 26 69 40 66 119 1 12 9 5 7 22 NA NA NA
16 51 69 22 56 131 NA 8 15 4 9 29 1 NA NA
19 64 55 30 52 126 NA 16 8 3 15 23 NA NA NA
23 58 78 33 36 127 2 16 10 5 7 23 1 NA NA
20 69 81 50 64 127 NA 6 7 12 14 31 1 NA NA
17 52 45 31 64 143 NA 14 15 6 9 20 1 NA NA
14 68 60 37 56 115 NA 11 13 5 16 28 1 NA NA
27 80 59 30 45 124 1 20 12 4 14 26 NA NA NA
19 50 68 27 65 140 NA 12 22 4 15 12 NA NA NA
27 31 87 37 68 128 NA 13 6 7 14 21 NA NA NA
13 57 64 14 47 147 NA 5 9 8 8 18 NA NA NA
11 53 65 22 48 110 1 2 11 9 12 23 1 1 NA
26 59 73 32 61 128 NA 9 13 4 15 16 1 NA NA
26 54 98 27 59 144 NA 15 11 7 11 28 NA 1 NA
33 87 81 33 62 120 1 17 12 7 11 25 NA NA NA
13 57 47 27 36 122 NA 16 13 12 4 22 1 NA 1
18 58 51 25 47 111 1 26 11 1 4 24 NA NA NA
18 50 52 37 52 135 NA 13 13 5 11 8 NA NA NA
24 60 72 22 47 127 NA 12 9 8 16 31 NA NA NA
17 75 67 34 61 138 NA 9 19 5 11 29 NA NA NA
8 43 59 38 49 155 NA 14 12 8 11 22 NA NA NA
18 55 64 33 56 152 1 13 10 7 11 29 NA NA NA
22 25 59 45 66 134 NA 26 10 9 4 31 NA 1 NA
19 22 70 31 61 114 NA 10 8 13 11 19 1 NA NA
13 61 85 18 42 111 1 20 9 4 17 21 NA NA NA
22 35 71 32 74 127 NA 19 13 7 12 16 1 1 NA
23 55 77 21 56 121 NA 18 15 12 8 20 NA NA NA
17 41 45 36 68 153 NA 15 15 6 4 25 1 1 NA
25 56 68 38 57 107 1 18 15 6 9 20 1 NA NA
26 51 58 30 49 128 NA 22 24 4 13 20 NA NA NA
16 59 60 35 56 125 NA 15 6 3 4 26 NA NA NA
25 54 64 27 37 125 NA 11 17 8 10 20 1 NA 1
22 65 79 25 86 133 NA 31 30 1 11 28 NA 1 NA
48 97 90 48 71 112 2 18 23 10 5 31 NA NA NA
16 49 63 40 58 145 NA 13 14 4 3 22 1 NA NA
13 37 60 23 36 107 NA 15 14 4 11 18 NA NA NA
15 54 71 24 56 120 NA 13 8 4 6 20 NA NA NA
15 61 74 34 52 135 NA 21 13 1 6 21 NA NA NA
17 47 52 34 67 141 2 17 7 3 11 13 1 NA NA
9 70 63 35 78 116 NA 9 23 2 13 31 NA NA NA
16 20 60 32 44 108 NA 10 19 6 13 35 NA 1 NA
20 52 72 33 71 126 3 15 8 5 9 16 NA NA NA
23 62 63 35 76 128 NA 32 8 5 4 29 NA NA NA
27 65 77 35 55 147 3 17 18 5 3 18 NA NA NA
16 21 51 23 50 120 1 25 12 4 8 14 NA NA NA
23 68 66 25 60 142 NA 6 8 2 7 14 NA NA NA
14 41 60 33 49 112 NA 18 15 4 8 31 NA NA NA
