"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 36 9 18 9 NA NA
"ku" "kd" 205 9 33 8 NA NA
"ku" "ku" 1274 9 21 12 1 1
"p" "kd" 446 1 35 18 NA NA
"p" "ku" 1614 5 11 22 1 NA
"p" "p" 5318 3 26 112 2 1
"td" "kd" 57 NA 4 16 NA NA
"td" "ku" 47 NA 1 1 NA NA
"td" "p" 703 NA 1 15 20 1
"td" "td" 128 NA NA NA NA 9
"tu" "kd" 114 NA 10 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 438 NA 1 4 NA 1
"tu" "td" 109 NA NA 1 NA 6
"tu" "tu" 3207 NA 3 14 3 3
"kd" "kd" 47 2 34 25 NA NA
"ku" "kd" 181 5 29 13 NA NA
"ku" "ku" 1191 6 19 11 NA 2
"p" "kd" 464 11 44 41 NA NA
"p" "ku" 1521 11 7 27 1 1
"p" "p" 5401 3 28 119 2 3
"td" "kd" 69 NA NA NA NA NA
"td" "ku" 47 NA NA NA 1 NA
"td" "p" 669 NA NA 3 23 NA
"td" "td" 221 NA NA NA 11 16
"tu" "kd" 94 NA 1 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 525 NA NA 2 NA NA
"tu" "td" 115 NA NA 1 NA 8
"tu" "tu" 3325 NA NA 2 1 7
"kd" "kd" 47 29 34 NA NA NA
"ku" "kd" 192 11 35 2 NA NA
"ku" "ku" 1270 11 15 11 2 3
"p" "kd" 447 11 37 7 NA NA
"p" "ku" 1554 6 4 20 1 1
"p" "p" 5249 7 8 99 1 NA
"td" "kd" 72 NA 12 NA NA NA
"td" "ku" 35 NA 1 NA NA 1
"td" "p" 626 NA 8 1 22 NA
"td" "td" 97 NA NA NA 18 2
"tu" "kd" 135 NA 1 1 NA NA
"tu" "ku" NA NA NA 1 NA NA
"tu" "p" 476 NA NA 2 NA NA
"tu" "td" 79 NA NA NA NA 4
"tu" "tu" 3222 NA NA 13 NA 3
"kd" "kd" 26 10 11 NA NA NA
"ku" "kd" 184 2 26 5 NA NA
"ku" "ku" 1172 13 11 11 1 NA
"p" "kd" 440 4 35 7 NA NA
"p" "ku" 1573 6 3 15 1 1
"p" "p" 5348 7 19 145 4 NA
"td" "kd" 52 NA NA NA NA NA
"td" "ku" 36 NA 1 NA NA NA
"td" "p" 650 NA 1 3 32 1
"td" "td" 211 NA NA NA NA NA
"tu" "kd" 80 NA 1 1 NA NA
"tu" "p" 463 NA NA 3 NA 2
"tu" "td" 110 NA NA 1 NA 15
"tu" "tu" 3312 NA NA 8 5 3
"kd" "kd" 34 5 5 2 NA NA
"ku" "kd" 220 3 14 4 NA NA
"ku" "ku" 1238 4 9 8 1 3
"p" "kd" 490 1 22 9 NA NA
"p" "ku" 1560 3 9 12 1 3
"p" "p" 5240 5 20 116 6 1
"td" "kd" 53 NA 2 NA NA NA
"td" "ku" 29 NA NA NA 2 NA
"td" "p" 654 NA 1 11 34 NA
"td" "td" 132 NA NA NA 12 NA
"tu" "kd" 94 NA 3 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 478 NA NA 4 NA 2
"tu" "td" 122 NA NA 1 NA 9
"tu" "tu" 3071 NA 1 10 1 6
"kd" "kd" 31 7 8 10 NA NA
"ku" "kd" 202 4 20 5 NA NA
"ku" "ku" 1236 8 11 8 1 5
"p" "kd" 494 8 28 46 NA NA
"p" "ku" 1673 5 7 12 1 3
"p" "p" 5320 5 16 146 3 6
"td" "kd" 107 NA 23 NA NA NA
"td" "ku" 46 NA NA NA NA 1
"td" "p" 673 NA 14 2 15 3
"td" "td" 131 NA NA NA 8 NA
"tu" "kd" 94 NA 7 8 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 512 NA NA 7 NA NA
"tu" "td" 98 NA NA NA NA 3
"tu" "tu" 3215 NA 1 10 1 3
"kd" "kd" 30 11 5 12 NA NA
"ku" "kd" 200 4 31 9 NA NA
"ku" "ku" 1229 10 17 15 2 3
"p" "kd" 449 1 9 21 NA NA
"p" "ku" 1554 7 2 27 2 3
"p" "p" 5404 3 10 161 4 4
"td" "kd" 76 NA 9 NA 1 NA
"td" "ku" 59 NA 1 NA 3 NA
"td" "p" 625 1 1 2 20 1
"td" "td" 194 NA NA NA NA 9
"tu" "kd" 116 NA 3 2 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 486 NA 1 5 NA 1
"tu" "td" 106 1 NA NA 1 4
"tu" "tu" 3109 NA 1 13 2 5
"kd" "kd" 18 13 14 10 NA NA
"ku" "kd" 190 11 25 10 NA NA
"ku" "ku" 1267 12 15 15 3 1
"p" "kd" 497 5 32 11 NA NA
"p" "ku" 1451 2 3 16 NA 3
"p" "p" 5141 1 16 147 1 2
"td" "kd" 47 NA 19 NA NA NA
"td" "ku" 20 NA NA NA 3 NA
"td" "p" 628 NA 10 3 26 2
"td" "td" 139 NA NA NA 28 7
"tu" "kd" 98 NA 3 NA NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 491 NA 1 5 1 1
"tu" "td" 91 NA NA NA NA 3
"tu" "tu" 3212 NA 2 15 NA 3
"kd" "kd" 33 8 2 NA NA NA
"ku" "kd" 201 4 20 3 NA NA
"ku" "ku" 1210 7 9 16 NA NA
"p" "kd" 464 1 18 13 NA NA
"p" "ku" 1616 3 3 8 NA 1
"p" "p" 5535 4 6 97 1 4
"td" "kd" 37 NA 5 3 1 NA
"td" "ku" 36 NA NA NA 6 NA
"td" "p" 617 NA 3 4 29 1
"td" "td" 155 NA NA NA 1 9
"tu" "kd" 112 NA 2 NA NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 554 NA 1 1 1 NA
"tu" "td" 116 1 NA 1 NA 7
"tu" "tu" 3012 1 2 13 NA 1
"kd" "kd" 49 2 12 NA NA NA
"ku" "kd" 234 5 18 8 NA NA
"ku" "ku" 1074 7 9 10 2 1
"p" "kd" 473 1 11 5 NA NA
"p" "ku" 1520 7 1 13 1 2
"p" "p" 5253 2 7 104 1 3
"td" "kd" 52 NA NA NA 1 NA
"td" "ku" 23 NA NA NA 2 NA
"td" "p" 625 NA NA 4 32 NA
"td" "td" 121 NA NA NA 6 56
"tu" "kd" 114 NA 1 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 460 NA NA 4 NA NA
"tu" "td" 136 NA NA NA 1 11
"tu" "tu" 3047 NA 1 2 1 4
"kd" "kd" 34 2 1 NA NA NA
"ku" "kd" 233 1 29 4 NA NA
"ku" "ku" 1212 8 11 12 4 3
"p" "kd" 508 NA 19 14 NA NA
"p" "ku" 1564 7 1 16 1 4
"p" "p" 5564 8 12 131 4 1
"td" "kd" 54 NA 2 NA NA NA
"td" "ku" 42 NA NA NA 1 NA
"td" "p" 597 NA NA 6 19 NA
"td" "td" 118 NA NA NA 5 61
"tu" "kd" 98 NA 2 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 448 NA NA 6 NA NA
"tu" "td" 128 NA NA NA NA 3
"tu" "tu" 3114 NA NA 10 4 6
"kd" "kd" 53 9 12 7 NA NA
"ku" "kd" 207 7 21 12 1 NA
"ku" "ku" 1271 12 22 10 NA 2
"p" "kd" 527 4 17 26 NA NA
"p" "ku" 1552 12 1 29 2 2
"p" "p" 5311 NA 9 153 5 4
"td" "kd" 39 NA 1 29 1 NA
"td" "ku" 54 NA NA 1 1 NA
"td" "p" 670 NA 1 16 27 NA
"td" "td" 131 NA NA NA 1 91
"tu" "kd" 101 1 NA 2 NA NA
"tu" "p" 482 NA NA 5 NA NA
"tu" "td" 118 NA NA NA 1 6
"tu" "tu" 3170 NA NA 15 3 7
"kd" "kd" 27 5 6 4 NA NA
"ku" "kd" 190 4 22 7 NA NA
"ku" "ku" 1285 10 2 11 4 2
"p" "kd" 459 1 13 14 NA NA
"p" "ku" 1529 1 5 16 3 NA
"p" "p" 5375 3 4 140 4 2
"td" "kd" 111 NA 3 NA 2 NA
"td" "ku" 35 NA NA NA 1 1
"td" "p" 700 NA 3 6 50 NA
"td" "td" 166 NA NA NA 8 NA
"tu" "kd" 120 1 1 2 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 523 NA NA 3 NA NA
"tu" "td" 123 NA NA NA NA 9
"tu" "tu" 3136 NA 1 11 3 1
"kd" "kd" 48 9 17 12 NA NA
"ku" "kd" 200 9 25 21 NA NA
"ku" "ku" 1157 14 20 23 1 2
"p" "kd" 483 9 28 38 NA NA
"p" "ku" 1578 3 7 21 1 2
"p" "p" 5367 6 15 136 2 2
"td" "kd" 43 NA 3 3 NA NA
"td" "ku" 45 NA NA NA 1 NA
"td" "p" 655 NA 1 2 24 1
"td" "td" 188 NA NA NA 14 2
"tu" "kd" 99 NA 1 3 NA NA
"tu" "p" 456 NA NA 4 NA 1
"tu" "td" 95 NA NA NA NA 7
"tu" "tu" 3029 NA 2 11 3 6
"kd" "kd" 47 NA 24 29 NA NA
"ku" "kd" 184 3 12 21 NA NA
"ku" "ku" 1389 2 9 21 NA NA
"p" "kd" 516 9 43 27 NA NA
"p" "ku" 1895 7 5 28 2 1
"p" "p" 5307 5 24 122 2 NA
"td" "kd" 70 NA NA NA NA NA
"td" "ku" 34 NA NA NA NA NA
"td" "p" 694 NA NA 9 24 NA
"td" "td" 131 NA NA NA 7 75
"tu" "kd" 111 1 2 1 NA NA
"tu" "p" 445 NA NA 4 NA 1
"tu" "td" 119 NA NA NA NA 6
"tu" "tu" 3160 NA NA 5 6 1
"kd" "kd" 35 20 29 3 NA NA
"ku" "kd" 213 4 29 8 NA NA
"ku" "ku" 1225 14 21 9 NA 1
"p" "kd" 513 11 26 16 NA NA
"p" "ku" 1495 16 4 19 NA 1
"p" "p" 5266 5 14 129 1 5
"td" "kd" 49 NA 3 NA NA NA
"td" "ku" 49 NA NA NA 4 NA
"td" "p" 609 NA 2 7 33 NA
"td" "td" 186 NA NA NA NA 1
"tu" "kd" 114 NA 2 NA NA NA
"tu" "p" 496 1 NA 2 1 NA
"tu" "td" 113 NA NA 1 NA 8
"tu" "tu" 3135 NA 1 16 4 4
"kd" "kd" 39 28 37 NA NA NA
"ku" "kd" 191 3 21 2 NA NA
"ku" "ku" 1240 11 15 10 NA 1
"p" "kd" 424 17 31 10 NA NA
"p" "ku" 1522 11 2 25 1 NA
"p" "p" 5349 9 18 95 3 1
"td" "kd" 84 NA NA NA 1 NA
"td" "ku" 41 NA NA NA 3 1
"td" "p" 635 NA NA 5 27 1
"td" "td" 149 NA NA 2 NA NA
"tu" "kd" 112 1 3 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 475 NA 1 5 1 NA
"tu" "td" 136 NA NA NA NA 7
"tu" "tu" 3102 NA 1 8 1 2
"kd" "kd" 29 4 9 NA NA NA
"ku" "kd" 186 5 21 3 NA NA
"ku" "ku" 1212 13 6 9 NA 1
"p" "kd" 498 3 16 13 NA NA
"p" "ku" 1578 3 NA 11 NA 1
"p" "p" 5283 4 8 93 NA 1
"td" "kd" 51 NA 2 NA 7 NA
"td" "ku" 46 NA NA NA 1 NA
"td" "p" 646 NA 1 3 29 NA
"td" "td" 114 NA NA NA NA NA
"tu" "kd" 110 NA 1 2 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 494 NA NA 4 NA NA
"tu" "td" 116 NA NA 1 NA 9
"tu" "tu" 3073 1 NA 11 1 3
"kd" "kd" 46 10 9 NA NA NA
"ku" "kd" 270 7 15 2 2 NA
"ku" "ku" 1216 13 12 13 1 2
"p" "kd" 474 7 15 11 2 NA
"p" "ku" 1609 5 1 16 1 4
"p" "p" 5344 1 6 125 NA 2
"td" "kd" 44 NA 1 1 5 NA
"td" "ku" 37 NA NA NA 3 NA
"td" "p" 652 NA NA 13 25 NA
"td" "td" 107 NA NA NA 5 3
"tu" "kd" 95 NA 1 1 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 501 NA 1 6 1 2
"tu" "td" 134 NA NA NA 1 11
"tu" "tu" 3054 1 NA 12 3 4
"kd" "kd" 31 11 8 1 NA NA
"ku" "kd" 206 8 23 6 NA NA
"ku" "ku" 1191 13 14 9 1 2
"p" "kd" 484 7 35 12 1 NA
"p" "ku" 1523 7 11 23 1 3
"p" "p" 5239 5 12 104 1 2
"td" "kd" 40 NA 12 NA 1 NA
"td" "ku" 30 NA NA NA 1 NA
"td" "p" 659 NA 7 3 34 NA
"td" "td" 172 NA NA NA NA NA
"tu" "kd" 116 NA 1 5 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 481 NA NA 4 NA NA
"tu" "td" 115 NA NA 1 NA 12
"tu" "tu" 3175 NA 1 9 6 1
"kd" "kd" 41 NA 1 1 NA NA
"ku" "kd" 172 NA 20 9 NA NA
"ku" "ku" 1279 8 15 11 NA NA
"p" "kd" 452 NA 26 13 1 NA
"p" "ku" 1491 11 5 20 1 NA
"p" "p" 5312 5 21 158 1 2
"td" "kd" 49 NA 11 NA 1 NA
"td" "ku" 24 NA NA NA NA NA
"td" "p" 577 NA 2 4 23 NA
"td" "td" 163 NA NA NA NA NA
"tu" "kd" 108 NA 2 1 NA NA
"tu" "p" 497 1 2 6 1 1
"tu" "td" 107 NA NA NA NA 8
"tu" "tu" 3032 NA NA 10 2 2
"kd" "kd" 62 7 6 NA NA NA
"ku" "kd" 92 3 19 4 NA NA
"ku" "ku" 1148 17 6 8 1 2
"p" "kd" 495 3 19 18 2 NA
"p" "ku" 1428 4 2 18 NA NA
"p" "p" 5227 8 9 105 4 1
"td" "kd" 52 NA 1 NA 3 NA
"td" "ku" 30 NA NA 1 1 NA
"td" "p" 630 NA NA 10 12 1
"td" "td" 131 NA NA NA 19 7
"tu" "kd" 85 NA 3 NA NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 541 NA 2 1 NA NA
"tu" "td" 138 NA NA 1 NA 6
"tu" "tu" 3214 NA NA 12 2 3
"kd" "kd" 29 1 22 2 NA NA
"ku" "kd" 214 8 21 5 NA NA
"ku" "ku" 1180 9 21 17 1 1
"p" "kd" 495 5 20 24 NA NA
"p" "ku" 1635 6 6 36 NA 1
"p" "p" 5524 4 6 144 1 2
"td" "kd" 53 NA 2 1 7 NA
"td" "ku" 34 NA 1 NA 1 NA
"td" "p" 649 NA NA 7 25 NA
"td" "td" 180 NA NA 8 20 52
"tu" "kd" 81 NA 1 NA NA NA
"tu" "p" 506 NA NA 3 NA NA
"tu" "td" 117 NA NA NA NA 2
"tu" "tu" 3052 NA 2 10 2 5
"kd" "kd" 29 31 32 NA NA NA
"ku" "kd" 234 13 34 5 NA NA
"ku" "ku" 1303 8 7 13 3 2
"p" "kd" 466 19 51 24 NA NA
"p" "ku" 1520 8 7 17 1 NA
"p" "p" 5248 10 12 111 2 1
"td" "kd" 45 NA NA NA NA NA
"td" "ku" 34 NA NA 1 3 NA
"td" "p" 625 NA NA 31 45 NA
"td" "td" 187 NA 1 NA 7 NA
"tu" "kd" 87 NA 2 1 NA NA
"tu" "ku" 3 NA NA NA NA NA
"tu" "p" 499 NA NA 7 NA NA
"tu" "td" 92 NA NA 1 NA 11
"tu" "tu" 3185 1 NA 10 2 NA
"kd" "kd" 50 3 18 NA NA NA
"ku" "kd" 179 1 20 10 NA NA
"ku" "ku" 1191 12 14 8 2 1
"p" "kd" 462 3 10 21 NA NA
"p" "ku" 1573 4 4 20 1 1
"p" "p" 5199 6 11 150 2 3
"td" "kd" 58 NA NA 1 1 NA
"td" "ku" 51 NA NA NA 1 NA
"td" "p" 679 NA NA 5 25 NA
"td" "td" 228 NA NA NA NA 1
"tu" "kd" 101 NA 1 4 NA NA
"tu" "ku" 2 NA NA NA NA NA
"tu" "p" 485 NA 1 1 NA NA
"tu" "td" 111 1 NA NA NA 4
"tu" "tu" 3206 1 2 2 NA 5
"kd" "kd" 25 4 17 1 NA NA
"ku" "kd" 181 5 24 10 NA NA
"ku" "ku" 1266 16 15 14 2 4
"p" "kd" 458 4 25 9 1 NA
"p" "ku" 1659 10 6 21 NA 1
"p" "p" 5425 1 15 114 NA 4
"td" "kd" 58 NA NA 7 1 NA
"td" "ku" 32 NA NA 1 3 NA
"td" "p" 607 NA NA 16 4 3
"td" "td" 139 NA NA 5 31 6
"tu" "kd" 114 1 5 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 524 NA 1 4 NA NA
"tu" "td" 119 NA NA 1 NA 5
"tu" "tu" 3192 NA NA 12 NA 2
"kd" "kd" 41 8 41 2 NA NA
"ku" "kd" 182 17 28 11 NA NA
"ku" "ku" 1235 17 18 14 NA 1
"p" "kd" 442 11 27 20 NA NA
"p" "ku" 1536 3 8 32 NA 1
"p" "p" 5207 3 23 109 NA NA
"td" "kd" 48 NA NA NA 3 NA
"td" "ku" 30 NA NA NA NA 1
"td" "p" 683 NA 1 4 40 2
"td" "td" 130 NA NA NA 27 1
"tu" "kd" 108 NA 4 5 NA NA
"tu" "p" 453 NA NA 3 NA 2
"tu" "td" 117 NA NA NA 1 8
"tu" "tu" 3293 1 2 17 2 1
"kd" "kd" 33 15 2 NA NA NA
"ku" "kd" 210 6 20 4 1 NA
"ku" "ku" 1311 14 10 13 3 4
"p" "kd" 476 1 24 20 NA NA
"p" "ku" 1633 6 5 22 2 5
"p" "p" 5077 3 11 118 4 3
"td" "kd" 77 NA 4 5 NA NA
"td" "ku" 36 NA NA 1 1 NA
