"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 19 0.02 NA 0.99 NA 11 3 10 2 100 1.73
"2" "kukd" 139 0 0 1 NA 97 15 98 13 100 1.43
"3" "kuku" 876 0 0 1 NA 587 42 584 39 100 1.49
"4" "pkd" 299 0 0 1 NA 256 21 258 16 100 1.17
"5" "pku" 1102 0.04 NA 0.96 NA 966 81 972 74 100 1.14
"6" "pp" 4469 0 0 1 NA 3491 94 3482 99 100 1.28
"7" "tdkd" 12 0.78 NA 0.3 NA 15 4 15 4 100 0.8
"8" "tdku" 18 0.65 NA 0.39 NA 20 7 20 7 100 0.9
"9" "tdp" 325 0.88 NA 0.17 NA 343 17 344 17 100 0.95
"10" "tdtd" 10 0.95 NA 0.12 NA 16 5 16 4 100 0.62
"11" "tukd" 48 0.79 NA 0.25 NA 54 9 54 9 100 0.89
"12" "tuku" 1 0.41 NA 0.86 NA 1 1 0 0 100 1
"13" "tup" 297 0.76 NA 0.26 NA 316 33 318 31 100 0.94
"14" "tutd" 66 0.56 NA 0.49 NA 68 13 68 14 100 0.97
"15" "tutu" 2397 0 0 1 NA 1535 79 1527 77 100 1.56
