"type_ac" "type_bc" "NA" "kd" "ku" "p" "td" "tu"
"kd" "kd" 36 NA 17 NA NA NA
"ku" "kd" 234 10 11 7 NA NA
"ku" "ku" 1320 3 6 13 NA NA
"p" "kd" 476 4 27 7 NA NA
"p" "ku" 1577 2 2 14 NA 1
"p" "p" 5364 5 15 106 NA 2
"td" "kd" 48 NA 3 NA NA NA
"td" "ku" 25 NA NA NA 1 NA
"td" "p" 706 NA 1 14 41 NA
"td" "td" 149 NA NA NA 15 11
"tu" "kd" 106 1 3 6 NA NA
"tu" "ku" 4 NA NA 1 NA NA
"tu" "p" 522 NA 1 2 NA 1
"tu" "td" 113 NA NA NA NA 4
"tu" "tu" 3310 NA 1 8 3 3
"kd" "kd" 46 10 9 8 NA NA
"ku" "kd" 186 3 13 4 NA NA
"ku" "ku" 1236 13 20 17 1 1
"p" "kd" 454 3 24 10 NA NA
"p" "ku" 1429 2 5 23 1 1
"p" "p" 5231 3 14 129 1 3
"td" "kd" 50 NA 1 8 NA NA
"td" "ku" 41 NA NA NA 1 NA
"td" "p" 593 NA 2 6 58 NA
"td" "td" 197 NA NA NA 24 7
"tu" "kd" 119 NA 2 4 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 539 NA 1 6 NA NA
"tu" "td" 106 NA NA 1 NA 4
"tu" "tu" 3165 NA 2 15 3 8
"kd" "kd" 37 20 17 NA NA NA
"ku" "kd" 200 8 24 3 NA NA
"ku" "ku" 1203 4 14 9 NA 2
"p" "kd" 491 8 27 21 NA NA
"p" "ku" 1516 5 3 21 NA 1
"p" "p" 5214 3 17 124 2 4
"td" "kd" 105 NA 7 1 NA NA
"td" "ku" 32 NA 1 NA NA NA
"td" "p" 690 NA NA 4 35 NA
"td" "td" 121 NA NA NA NA 43
"tu" "kd" 95 NA 4 1 NA NA
"tu" "ku" 1 NA NA NA NA NA
"tu" "p" 483 NA NA 2 1 NA
"tu" "td" 153 NA NA NA NA 10
"tu" "tu" 3017 1 NA 6 1 5
"kd" "kd" 29 7 22 NA NA NA
"ku" "kd" 208 8 28 5 1 NA
"ku" "ku" 1193 6 11 14 1 3
"p" "kd" 453 4 27 10 NA NA
"p" "ku" 1693 6 9 11 2 1
