"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 5 12 4 100 3.08
"2" "kukd" 21 0 0 1 NA 14 3 14 2 100 1.5
"3" "kuku" 12 0.16 NA 1 NA 11 1 11 1 100 1.09
"4" "pkd" 128 0 0 1 NA 80 7 79 7 100 1.6
"5" "pku" 12 0.66 NA 0.34 NA 16 5 18 4 100 0.75
"6" "pp" 193 0 0 1 NA 121 6 121 6 100 1.6
"7" "tdkd" 28 0.13 NA 0.88 NA 21 7 20 7 100 1.33
"8" "tdku" 10 0.12 NA 0.95 NA 7 2 7 3 100 1.43
"9" "tdp" 100 0.03 NA 0.98 NA 83 10 83 6 100 1.2
"10" "tdtd" 34 0.27 NA 0.77 NA 30 7 30 7 100 1.13
"11" "tukd" 8 0.66 NA 0.45 NA 8 3 9 3 100 1
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 19 0.02 NA 1 NA 14 4 15 3 100 1.36
"14" "tutd" 4 1 NA 0.04 NA 10 3 10 3 100 0.4
"15" "tutu" 11 0.3 NA 0.92 NA 10 1 10 1 100 1.1
