"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 9 0.44 NA 0.68 NA 8 3 8 3 100 1.12
"2" "kukd" 155 0 0 1 NA 75 13 75 12 100 2.07
"3" "kuku" 932 0 0 1 NA 447 30 447 28 100 2.09
"4" "pkd" 109 0.5 NA 0.52 NA 106 18 108 13 100 1.03
"5" "pku" 1195 0 0 1 NA 504 47 504 35 100 2.37
"6" "pp" 1478 0 0 1 NA 922 35 924 30 100 1.6
"7" "tdkd" 20 0 0 1 NA 10 4 10 3 100 2
"8" "tdku" 30 0 0 1 NA 11 5 10 4 100 2.73
"9" "tdp" 145 0 0 1 NA 110 13 109 12 100 1.32
"10" "tdtd" 11 0.53 NA 0.62 NA 11 3 11 3 100 1
"11" "tukd" 35 0.12 NA 0.89 NA 26 7 26 7 100 1.35
"12" "tuku" 1 0.37 NA 0.87 NA 1 1 0 0 100 1
"13" "tup" 146 0 0 1 NA 109 16 109 14 100 1.34
"14" "tutd" 12 0.97 NA 0.03 NA 26 8 25 9 100 0.46
"15" "tutu" 770 0.15 NA 0.85 NA 725 42 726 41 100 1.06
