"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 33 0 0 1 NA 25 5 26 5 50 1.32
"2" "kukd" 305 0 0 1 NA 201 16 202 16 50 1.52
"3" "kuku" 1719 0 0 1 NA 1151 53 1148 68 50 1.49
"4" "pkd" 538 0 0 1 NA 402 36 406 20 50 1.34
"5" "pku" 2067 0 0 1 NA 1543 87 1550 67 50 1.34
"6" "pp" 6202 0 0 1 NA 4761 95 4758 95 50 1.3
"7" "tdkd" 35 0.28 NA 0.74 NA 32 6 32 6 50 1.09
"8" "tdku" 52 0.0600000000000001 NA 0.96 NA 40 9 40 9 50 1.3
"9" "tdp" 545 0.3 NA 0.72 NA 527 25 524 26 50 1.03
"10" "tdtd" 44 0.64 NA 0.42 NA 46 7 46 7 50 0.96
"11" "tukd" 102 0.58 NA 0.46 NA 104 13 104 13 50 0.98
"12" "tuku" 1 0.64 NA 0.62 NA 2 2 1 1 50 0.5
"13" "tup" 541 0.1 NA 0.92 NA 495 33 492 37 50 1.09
"14" "tutd" 114 0.66 NA 0.34 NA 120 14 120 15 50 0.95
"15" "tutu" 4146 0 0 1 NA 3054 105 3048 120 50 1.36
