"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 129 0 0 1 NA 36 12 34 13 100 3.58
"2" "kukd" 316 0 0 1 NA 107 18 107 15 100 2.95
"3" "kuku" 1097 0 0 1 NA 315 29 314 30 100 3.48
"4" "pkd" 612 0 0 1 NA 82 12 82 11 100 7.46
"5" "pku" 1177 0 0 1 NA 269 31 268 30 100 4.38
"6" "pp" 13890 0 0 1 NA 473 30 469 30 100 29.37
"7" "tdkd" 28 0 0 1 NA 10 5 9 6 100 2.8
"8" "tdku" 50 0 0 1 NA 9 5 8 5 100 5.56
"9" "tdp" 592 0 0 1 NA 64 13 64 12 100 9.25
"10" "tdtd" 41 0 0 1 NA 16 5 16 6 100 2.56
"11" "tukd" 17 0.04 NA 0.98 NA 8 4 8 3 100 2.12
"12" "tuku" 0 1 NA 0.87 NA 0 0 0 0 100 NA
"13" "tup" 173 0 0 1 NA 25 6 25 6 100 6.92
"14" "tutd" 21 0.1 NA 0.93 NA 14 5 14 4 100 1.5
"15" "tutu" 353 0 0 1 NA 71 11 70 10 100 4.97
