"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 36 0 0 1 NA 12 6 11 6 100 3
"2" "kukd" 95 0 0 1 NA 47 11 46 9 100 2.02
"3" "kuku" 324 0 0 1 NA 137 18 136 19 100 2.36
"4" "pkd" 175 0 0 1 NA 59 9 59 7 100 2.97
"5" "pku" 266 0 0 1 NA 100 16 100 16 100 2.66
"6" "pp" 1883 0 0 1 NA 304 24 304 22 100 6.19
"7" "tdkd" 33 0 0 1 NA 10 5 10 4 100 3.3
"8" "tdku" 15 0 0 1 NA 5 3 5 3 100 3
"9" "tdp" 101 0 0 1 NA 51 8 51 7 100 1.98
"10" "tdtd" 38 0 0 1 NA 17 7 16 6 100 2.24
"11" "tukd" 23 0.0600000000000001 NA 0.98 NA 14 5 14 4 100 1.64
"12" "tuku" 0 1 NA 0.79 NA 0 1 0 0 100 NA
"13" "tup" 104 0 0 1 NA 46 11 46 10 100 2.26
"14" "tutd" 15 0.3 NA 0.79 NA 12 5 12 5 100 1.25
"15" "tutu" 236 0 0 1 NA 167 17 168 19 100 1.41
