"motif_type" "observed_counts" "enrichment_raw_p_values" "enrichment_adj_p_values" "depletion_raw_p_values" "depletion_adj_p_values" "mean" "sd" "median" "mad" "count" "ratio"
"1" "kdkd" 37 0 0 1 NA 12 4 11 4 100 3.08
"2" "kukd" 21 0.08 NA 0.97 NA 16 4 17 3 100 1.31
"3" "kuku" 16 0.31 NA 0.86 NA 15 2 15 1 100 1.07
"4" "pkd" 100 0 0 1 NA 70 11 72 6 100 1.43
"5" "pku" 31 0.05 NA 0.97 NA 25 5 27 3 100 1.24
"6" "pp" 227 0 0 1 NA 164 7 163 7 100 1.38
"7" "tdkd" 12 0.57 NA 0.54 NA 12 5 12 4 100 1
"8" "tdku" 5 0.31 NA 0.84 NA 3 2 3 3 100 1.67
"9" "tdp" 93 0.05 NA 0.98 NA 76 10 76 7 100 1.22
"10" "tdtd" 22 0.35 NA 0.72 NA 20 5 19 6 100 1.1
"11" "tukd" 16 0.82 NA 0.19 NA 21 5 22 4 100 0.76
"12" "tuku" 0 1 NA 1 NA 0 0 0 0 100 NA
"13" "tup" 44 0 0 1 NA 34 7 36 3 100 1.29
"14" "tutd" 8 0.99 NA 0.01 NA 20 5 21 4 100 0.4
"15" "tutu" 30 0.14 NA 0.94 NA 27 2 27 3 100 1.11
